,location,location_next,location_2,location_3,location_4
3272,checkout,checkout,spices,fruit,checkout
3283,dairy,spices,fruit,checkout,checkout
3295,spices,fruit,checkout,checkout,dairy
3301,fruit,checkout,checkout,dairy,checkout
3311,checkout,checkout,dairy,checkout,checkout
3280,spices,dairy,checkout,checkout,checkout
3304,dairy,checkout,checkout,checkout,checkout
3348,checkout,checkout,checkout,checkout,spices
3268,fruit,checkout,checkout,spices,dairy
3273,checkout,checkout,spices,dairy,fruit
3416,fruit,spices,dairy,fruit,checkout
3459,spices,dairy,fruit,checkout,checkout
3464,dairy,fruit,checkout,checkout,checkout
3493,fruit,checkout,checkout,checkout,checkout
3509,checkout,checkout,checkout,checkout,checkout
3268,fruit,checkout,checkout,checkout,checkout
3273,checkout,checkout,checkout,checkout,drinks
3284,dairy,checkout,checkout,drinks,spices
3312,checkout,checkout,drinks,spices,checkout
3281,spices,drinks,spices,checkout,checkout
3287,drinks,spices,checkout,checkout,checkout
3295,spices,checkout,checkout,checkout,checkout
3300,checkout,checkout,checkout,checkout,fruit
3274,fruit,checkout,checkout,fruit,checkout
3288,checkout,checkout,fruit,checkout,checkout
3417,dairy,fruit,checkout,checkout,checkout
3423,fruit,checkout,checkout,checkout,checkout
3450,checkout,checkout,checkout,checkout,dairy
3274,fruit,checkout,checkout,dairy,checkout
3288,checkout,checkout,dairy,checkout,checkout
3296,spices,dairy,checkout,checkout,checkout
3313,dairy,checkout,checkout,checkout,checkout
3382,checkout,checkout,checkout,checkout,checkout
3282,spices,checkout,checkout,checkout,checkout
3293,checkout,checkout,checkout,checkout,checkout
3275,drinks,checkout,checkout,checkout,checkout
3280,checkout,checkout,checkout,checkout,checkout
3418,fruit,checkout,checkout,checkout,checkout
3424,checkout,checkout,checkout,checkout,checkout
3275,drinks,checkout,checkout,checkout,checkout
3280,checkout,checkout,checkout,checkout,spices
3297,fruit,checkout,checkout,spices,drinks
3325,checkout,checkout,spices,drinks,checkout
3283,dairy,spices,drinks,checkout,checkout
3357,spices,drinks,checkout,checkout,dairy
3367,drinks,checkout,checkout,dairy,spices
3380,checkout,checkout,dairy,spices,dairy
3276,fruit,dairy,spices,dairy,checkout
3294,dairy,spices,dairy,checkout,checkout
3333,spices,dairy,checkout,checkout,fruit
3338,dairy,checkout,checkout,fruit,checkout
3346,checkout,checkout,fruit,checkout,checkout
3419,spices,fruit,checkout,checkout,dairy
3425,fruit,checkout,checkout,dairy,spices
3437,checkout,checkout,dairy,spices,dairy
3276,fruit,dairy,spices,dairy,checkout
3294,dairy,spices,dairy,checkout,checkout
3333,spices,dairy,checkout,checkout,drinks
3338,dairy,checkout,checkout,drinks,checkout
3346,checkout,checkout,drinks,checkout,checkout
3302,dairy,drinks,checkout,checkout,checkout
3314,drinks,checkout,checkout,checkout,checkout
3374,checkout,checkout,checkout,checkout,dairy
3288,fruit,checkout,checkout,dairy,drinks
3296,checkout,checkout,dairy,drinks,fruit
3277,fruit,dairy,drinks,fruit,dairy
3281,dairy,drinks,fruit,dairy,spices
3307,drinks,fruit,dairy,spices,dairy
3319,fruit,dairy,spices,dairy,fruit
3339,dairy,spices,dairy,fruit,dairy
3371,spices,dairy,fruit,dairy,checkout
3382,dairy,fruit,dairy,checkout,checkout
3402,fruit,dairy,checkout,checkout,drinks
3430,dairy,checkout,checkout,drinks,checkout
3491,checkout,checkout,drinks,checkout,checkout
3426,dairy,drinks,checkout,checkout,dairy
3438,drinks,checkout,checkout,dairy,drinks
3444,checkout,checkout,dairy,drinks,fruit
3277,fruit,dairy,drinks,fruit,dairy
3281,dairy,drinks,fruit,dairy,spices
3307,drinks,fruit,dairy,spices,dairy
3319,fruit,dairy,spices,dairy,fruit
3339,dairy,spices,dairy,fruit,dairy
3371,spices,dairy,fruit,dairy,checkout
3382,dairy,fruit,dairy,checkout,checkout
3402,fruit,dairy,checkout,checkout,drinks
3430,dairy,checkout,checkout,drinks,checkout
3491,checkout,checkout,drinks,checkout,checkout
3303,spices,drinks,checkout,checkout,dairy
3323,drinks,checkout,checkout,dairy,fruit
3351,checkout,checkout,dairy,fruit,drinks
3289,spices,dairy,fruit,drinks,fruit
3305,dairy,fruit,drinks,fruit,drinks
3319,fruit,drinks,fruit,drinks,spices
3331,drinks,fruit,drinks,spices,checkout
3342,fruit,drinks,spices,checkout,checkout
3349,drinks,spices,checkout,checkout,checkout
3358,spices,checkout,checkout,checkout,checkout
3368,checkout,checkout,checkout,checkout,checkout
295,fruit,checkout,checkout,checkout,checkout
300,checkout,checkout,checkout,checkout,checkout
304,drinks,checkout,checkout,checkout,checkout
333,checkout,checkout,checkout,checkout,checkout
295,fruit,checkout,checkout,checkout,checkout
300,checkout,checkout,checkout,checkout,checkout
311,dairy,checkout,checkout,checkout,checkout
320,checkout,checkout,checkout,checkout,checkout
304,drinks,checkout,checkout,checkout,checkout
327,checkout,checkout,checkout,checkout,checkout
3284,dairy,checkout,checkout,checkout,checkout
3289,checkout,checkout,checkout,checkout,checkout
3427,spices,checkout,checkout,checkout,checkout
3439,checkout,checkout,checkout,checkout,dairy
3284,dairy,checkout,checkout,dairy,spices
3289,checkout,checkout,dairy,spices,fruit
3304,spices,dairy,spices,fruit,drinks
3315,dairy,spices,fruit,drinks,checkout
3337,spices,fruit,drinks,checkout,checkout
3375,fruit,drinks,checkout,checkout,fruit
3383,drinks,checkout,checkout,fruit,checkout
3391,checkout,checkout,fruit,checkout,checkout
3297,spices,fruit,checkout,checkout,dairy
3306,fruit,checkout,checkout,dairy,checkout
3310,checkout,checkout,dairy,checkout,checkout
3285,spices,dairy,checkout,checkout,drinks
3290,dairy,checkout,checkout,drinks,fruit
3308,checkout,checkout,drinks,fruit,checkout
3428,dairy,drinks,fruit,checkout,checkout
3451,drinks,fruit,checkout,checkout,dairy
3465,fruit,checkout,checkout,dairy,checkout
3467,checkout,checkout,dairy,checkout,checkout
3285,spices,dairy,checkout,checkout,checkout
3290,dairy,checkout,checkout,checkout,checkout
3308,checkout,checkout,checkout,checkout,checkout
3305,dairy,checkout,checkout,checkout,checkout
3316,checkout,checkout,checkout,checkout,checkout
3301,dairy,checkout,checkout,checkout,checkout
3307,checkout,checkout,checkout,checkout,spices
3286,drinks,checkout,checkout,spices,checkout
3295,checkout,checkout,spices,checkout,checkout
3429,dairy,spices,checkout,checkout,checkout
3480,spices,checkout,checkout,checkout,checkout
3494,checkout,checkout,checkout,checkout,fruit
3286,drinks,checkout,checkout,fruit,checkout
3295,checkout,checkout,fruit,checkout,checkout
3306,spices,fruit,checkout,checkout,dairy
3317,fruit,checkout,checkout,dairy,drinks
3324,checkout,checkout,dairy,drinks,spices
3302,fruit,dairy,drinks,spices,drinks
3320,dairy,drinks,spices,drinks,checkout
3350,drinks,spices,drinks,checkout,checkout
3375,spices,drinks,checkout,checkout,dairy
3383,drinks,checkout,checkout,dairy,drinks
3387,checkout,checkout,dairy,drinks,spices
3291,fruit,dairy,drinks,spices,fruit
3296,dairy,drinks,spices,fruit,drinks
3340,drinks,spices,fruit,drinks,spices
3352,spices,fruit,drinks,spices,fruit
3363,fruit,drinks,spices,fruit,checkout
3403,drinks,spices,fruit,checkout,checkout
3431,spices,fruit,checkout,checkout,dairy
3440,fruit,checkout,checkout,dairy,drinks
3448,checkout,checkout,dairy,drinks,spices
3430,drinks,dairy,drinks,spices,dairy
3445,dairy,drinks,spices,dairy,drinks
3452,drinks,spices,dairy,drinks,checkout
3468,spices,dairy,drinks,checkout,checkout
3488,dairy,drinks,checkout,checkout,dairy
3495,drinks,checkout,checkout,dairy,drinks
3501,checkout,checkout,dairy,drinks,spices
3291,fruit,dairy,drinks,spices,fruit
3296,dairy,drinks,spices,fruit,drinks
3340,drinks,spices,fruit,drinks,spices
3352,spices,fruit,drinks,spices,fruit
3363,fruit,drinks,spices,fruit,checkout
3403,drinks,spices,fruit,checkout,checkout
3431,spices,fruit,checkout,checkout,drinks
3440,fruit,checkout,checkout,drinks,spices
3448,checkout,checkout,drinks,spices,drinks
3307,fruit,drinks,spices,drinks,checkout
3318,drinks,spices,drinks,checkout,checkout
3352,spices,drinks,checkout,checkout,checkout
3361,drinks,checkout,checkout,checkout,checkout
3398,checkout,checkout,checkout,checkout,fruit
3311,fruit,checkout,checkout,fruit,checkout
3315,checkout,checkout,fruit,checkout,checkout
3292,drinks,fruit,checkout,checkout,checkout
3297,fruit,checkout,checkout,checkout,checkout
3360,checkout,checkout,checkout,checkout,fruit
3431,dairy,checkout,checkout,fruit,checkout
3440,checkout,checkout,fruit,checkout,checkout
3292,drinks,fruit,checkout,checkout,spices
3297,fruit,checkout,checkout,spices,dairy
3360,checkout,checkout,spices,dairy,checkout
3326,dairy,spices,dairy,checkout,checkout
3343,spices,dairy,checkout,checkout,checkout
3362,dairy,checkout,checkout,checkout,checkout
3416,checkout,checkout,checkout,checkout,checkout
3316,fruit,checkout,checkout,checkout,checkout
3321,checkout,checkout,checkout,checkout,spices
3298,drinks,checkout,checkout,spices,drinks
3309,checkout,checkout,spices,drinks,checkout
3432,fruit,spices,drinks,checkout,checkout
3441,spices,drinks,checkout,checkout,checkout
3460,drinks,checkout,checkout,checkout,checkout
3469,checkout,checkout,checkout,checkout,checkout
3298,drinks,checkout,checkout,checkout,checkout
3309,checkout,checkout,checkout,checkout,spices
3327,drinks,checkout,checkout,spices,dairy
3338,checkout,checkout,spices,dairy,drinks
3317,drinks,spices,dairy,drinks,fruit
3322,spices,dairy,drinks,fruit,dairy
3327,dairy,drinks,fruit,dairy,spices
3332,drinks,fruit,dairy,spices,fruit
3359,fruit,dairy,spices,fruit,checkout
3381,dairy,spices,fruit,checkout,checkout
3413,spices,fruit,checkout,checkout,checkout
3419,fruit,checkout,checkout,checkout,checkout
3423,checkout,checkout,checkout,checkout,spices
3299,fruit,checkout,checkout,spices,dairy
3314,checkout,checkout,spices,dairy,checkout
3446,drinks,spices,dairy,checkout,checkout
3470,spices,dairy,checkout,checkout,checkout
3489,dairy,checkout,checkout,checkout,checkout
3496,checkout,checkout,checkout,checkout,spices
3299,fruit,checkout,checkout,spices,drinks
3314,checkout,checkout,spices,drinks,fruit
3328,dairy,spices,drinks,fruit,checkout
3376,spices,drinks,fruit,checkout,checkout
3384,drinks,fruit,checkout,checkout,fruit
3392,fruit,checkout,checkout,fruit,checkout
3417,checkout,checkout,fruit,checkout,checkout
3318,dairy,fruit,checkout,checkout,fruit
3323,fruit,checkout,checkout,fruit,checkout
3343,checkout,checkout,fruit,checkout,checkout
3300,drinks,fruit,checkout,checkout,checkout
3320,fruit,checkout,checkout,checkout,checkout
3327,checkout,checkout,checkout,checkout,fruit
3447,fruit,checkout,checkout,fruit,checkout
3453,checkout,checkout,fruit,checkout,checkout
3300,drinks,fruit,checkout,checkout,checkout
3320,fruit,checkout,checkout,checkout,checkout
3327,checkout,checkout,checkout,checkout,checkout
3329,fruit,checkout,checkout,checkout,checkout
3363,checkout,checkout,checkout,checkout,checkout
3324,dairy,checkout,checkout,checkout,checkout
3351,checkout,checkout,checkout,checkout,drinks
3301,spices,checkout,checkout,drinks,checkout
3310,checkout,checkout,drinks,checkout,checkout
3448,spices,drinks,checkout,checkout,checkout
3454,drinks,checkout,checkout,checkout,checkout
3481,checkout,checkout,checkout,checkout,fruit
3301,spices,checkout,checkout,fruit,checkout
3310,checkout,checkout,fruit,checkout,checkout
3330,dairy,fruit,checkout,checkout,checkout
3353,fruit,checkout,checkout,checkout,checkout
3364,checkout,checkout,checkout,checkout,dairy
3325,fruit,checkout,checkout,dairy,checkout
3333,checkout,checkout,dairy,checkout,checkout
3302,fruit,dairy,checkout,checkout,drinks
3311,dairy,checkout,checkout,drinks,fruit
3321,checkout,checkout,drinks,fruit,checkout
3455,fruit,drinks,fruit,checkout,checkout
3471,drinks,fruit,checkout,checkout,dairy
3490,fruit,checkout,checkout,dairy,checkout
3497,checkout,checkout,dairy,checkout,checkout
3302,fruit,dairy,checkout,checkout,fruit
3311,dairy,checkout,checkout,fruit,dairy
3321,checkout,checkout,fruit,dairy,checkout
3331,drinks,fruit,dairy,checkout,checkout
3354,fruit,dairy,checkout,checkout,dairy
3368,dairy,checkout,checkout,dairy,checkout
3408,checkout,checkout,dairy,checkout,checkout
3328,fruit,dairy,checkout,checkout,fruit
3394,dairy,checkout,checkout,fruit,checkout
3402,checkout,checkout,fruit,checkout,checkout
296,drinks,fruit,checkout,checkout,checkout
301,fruit,checkout,checkout,checkout,checkout
306,checkout,checkout,checkout,checkout,fruit
305,fruit,checkout,checkout,fruit,checkout
319,checkout,checkout,fruit,checkout,checkout
296,drinks,fruit,checkout,checkout,checkout
301,fruit,checkout,checkout,checkout,checkout
306,checkout,checkout,checkout,checkout,checkout
312,drinks,checkout,checkout,checkout,checkout
330,checkout,checkout,checkout,checkout,fruit
305,dairy,checkout,checkout,fruit,checkout
349,checkout,checkout,fruit,checkout,checkout
3312,dairy,fruit,checkout,checkout,spices
3341,fruit,checkout,checkout,spices,drinks
3347,checkout,checkout,spices,drinks,checkout
3456,fruit,spices,drinks,checkout,checkout
3545,spices,drinks,checkout,checkout,fruit
3593,drinks,checkout,checkout,fruit,checkout
3621,checkout,checkout,fruit,checkout,checkout
3312,dairy,fruit,checkout,checkout,spices
3341,fruit,checkout,checkout,spices,drinks
3347,checkout,checkout,spices,drinks,checkout
3332,drinks,spices,drinks,checkout,checkout
3339,spices,drinks,checkout,checkout,dairy
3355,drinks,checkout,checkout,dairy,drinks
3365,checkout,checkout,dairy,drinks,checkout
3329,fruit,dairy,drinks,checkout,checkout
3334,dairy,drinks,checkout,checkout,spices
3344,drinks,checkout,checkout,spices,checkout
3352,checkout,checkout,spices,checkout,checkout
3313,fruit,spices,checkout,checkout,fruit
3322,spices,checkout,checkout,fruit,checkout
3328,checkout,checkout,fruit,checkout,checkout
3461,dairy,fruit,checkout,checkout,spices
3568,fruit,checkout,checkout,spices,checkout
3577,checkout,checkout,spices,checkout,checkout
3313,fruit,spices,checkout,checkout,spices
3322,spices,checkout,checkout,spices,dairy
3328,checkout,checkout,spices,dairy,fruit
3335,drinks,spices,dairy,fruit,drinks
3356,spices,dairy,fruit,drinks,checkout
3385,dairy,fruit,drinks,checkout,checkout
3409,fruit,drinks,checkout,checkout,checkout
3418,drinks,checkout,checkout,checkout,checkout
3421,checkout,checkout,checkout,checkout,fruit
3335,dairy,checkout,checkout,fruit,checkout
3360,checkout,checkout,fruit,checkout,checkout
3315,dairy,fruit,checkout,checkout,checkout
3323,fruit,checkout,checkout,checkout,checkout
3329,checkout,checkout,checkout,checkout,fruit
3462,fruit,checkout,checkout,fruit,checkout
3510,checkout,checkout,fruit,checkout,checkout
3315,dairy,fruit,checkout,checkout,spices
3323,fruit,checkout,checkout,spices,checkout
3329,checkout,checkout,spices,checkout,checkout
3340,dairy,spices,checkout,checkout,drinks
3377,spices,checkout,checkout,drinks,checkout
3386,checkout,checkout,drinks,checkout,checkout
3336,fruit,drinks,checkout,checkout,fruit
3369,drinks,checkout,checkout,fruit,drinks
3384,checkout,checkout,fruit,drinks,checkout
3316,dairy,fruit,drinks,checkout,checkout
3324,fruit,drinks,checkout,checkout,dairy
3334,drinks,checkout,checkout,dairy,checkout
3353,checkout,checkout,dairy,checkout,checkout
3472,fruit,dairy,checkout,checkout,fruit
3482,dairy,checkout,checkout,fruit,drinks
3502,checkout,checkout,fruit,drinks,checkout
3316,dairy,fruit,drinks,checkout,checkout
3324,fruit,drinks,checkout,checkout,dairy
3334,drinks,checkout,checkout,dairy,checkout
3353,checkout,checkout,dairy,checkout,checkout
3341,spices,dairy,checkout,checkout,dairy
3344,dairy,checkout,checkout,dairy,checkout
3357,checkout,checkout,dairy,checkout,checkout
3337,fruit,dairy,checkout,checkout,checkout
3376,dairy,checkout,checkout,checkout,checkout
3410,checkout,checkout,checkout,checkout,spices
3317,spices,checkout,checkout,spices,drinks
3325,checkout,checkout,spices,drinks,checkout
3473,dairy,spices,drinks,checkout,checkout
3476,spices,drinks,checkout,checkout,checkout
3483,drinks,checkout,checkout,checkout,checkout
3491,checkout,checkout,checkout,checkout,checkout
3317,spices,checkout,checkout,checkout,checkout
3325,checkout,checkout,checkout,checkout,dairy
3345,dairy,checkout,checkout,dairy,fruit
3358,checkout,checkout,dairy,fruit,checkout
3338,fruit,dairy,fruit,checkout,checkout
3341,dairy,fruit,checkout,checkout,fruit
3389,fruit,checkout,checkout,fruit,checkout
3398,checkout,checkout,fruit,checkout,checkout
3330,spices,fruit,checkout,checkout,checkout
3335,fruit,checkout,checkout,checkout,checkout
3342,checkout,checkout,checkout,checkout,fruit
3484,fruit,checkout,checkout,fruit,checkout
3498,checkout,checkout,fruit,checkout,checkout
3330,spices,fruit,checkout,checkout,drinks
3335,fruit,checkout,checkout,drinks,spices
3342,checkout,checkout,drinks,spices,dairy
3346,fruit,drinks,spices,dairy,drinks
3369,drinks,spices,dairy,drinks,fruit
3399,spices,dairy,drinks,fruit,checkout
3410,dairy,drinks,fruit,checkout,checkout
3429,drinks,fruit,checkout,checkout,checkout
3454,fruit,checkout,checkout,checkout,checkout
3473,checkout,checkout,checkout,checkout,checkout
3339,dairy,checkout,checkout,checkout,checkout
3361,checkout,checkout,checkout,checkout,checkout
3331,fruit,checkout,checkout,checkout,checkout
3343,checkout,checkout,checkout,checkout,checkout
3485,spices,checkout,checkout,checkout,checkout
3492,checkout,checkout,checkout,checkout,checkout
3331,fruit,checkout,checkout,checkout,checkout
3343,checkout,checkout,checkout,checkout,checkout
3347,dairy,checkout,checkout,checkout,checkout
3387,checkout,checkout,checkout,checkout,dairy
3340,drinks,checkout,checkout,dairy,checkout
3345,checkout,checkout,dairy,checkout,checkout
3332,fruit,dairy,checkout,checkout,checkout
3354,dairy,checkout,checkout,checkout,checkout
3367,checkout,checkout,checkout,checkout,dairy
3499,fruit,checkout,checkout,dairy,checkout
3503,checkout,checkout,dairy,checkout,checkout
3332,fruit,dairy,checkout,checkout,checkout
3354,dairy,checkout,checkout,checkout,checkout
3367,checkout,checkout,checkout,checkout,checkout
3348,fruit,checkout,checkout,checkout,checkout
3359,checkout,checkout,checkout,checkout,dairy
3346,dairy,checkout,checkout,dairy,drinks
3353,checkout,checkout,dairy,drinks,checkout
3336,fruit,dairy,drinks,checkout,checkout
3348,dairy,drinks,checkout,checkout,spices
3355,drinks,checkout,checkout,spices,fruit
3364,checkout,checkout,spices,fruit,checkout
3500,fruit,spices,fruit,checkout,checkout
3518,spices,fruit,checkout,checkout,dairy
3527,fruit,checkout,checkout,dairy,drinks
3553,checkout,checkout,dairy,drinks,checkout
3336,fruit,dairy,drinks,checkout,checkout
3348,dairy,drinks,checkout,checkout,checkout
3355,drinks,checkout,checkout,checkout,checkout
3364,checkout,checkout,checkout,checkout,checkout
3349,fruit,checkout,checkout,checkout,checkout
3370,checkout,checkout,checkout,checkout,checkout
3354,dairy,checkout,checkout,checkout,checkout
3370,checkout,checkout,checkout,checkout,checkout
3337,fruit,checkout,checkout,checkout,checkout
3344,checkout,checkout,checkout,checkout,checkout
3504,fruit,checkout,checkout,checkout,checkout
3535,checkout,checkout,checkout,checkout,checkout
3337,fruit,checkout,checkout,checkout,checkout
3344,checkout,checkout,checkout,checkout,dairy
3366,fruit,checkout,checkout,dairy,spices
3378,checkout,checkout,dairy,spices,checkout
3355,fruit,dairy,spices,checkout,checkout
3362,dairy,spices,checkout,checkout,spices
3371,spices,checkout,checkout,spices,checkout
3377,checkout,checkout,spices,checkout,checkout
302,drinks,spices,checkout,checkout,checkout
303,spices,checkout,checkout,checkout,checkout
307,checkout,checkout,checkout,checkout,spices
306,dairy,checkout,checkout,spices,checkout
324,checkout,checkout,spices,checkout,checkout
302,drinks,spices,checkout,checkout,checkout
303,spices,checkout,checkout,checkout,checkout
307,checkout,checkout,checkout,checkout,drinks
313,drinks,checkout,checkout,drinks,checkout
325,checkout,checkout,drinks,checkout,checkout
306,dairy,drinks,checkout,checkout,drinks
319,drinks,checkout,checkout,drinks,checkout
350,checkout,checkout,drinks,checkout,checkout
3345,fruit,drinks,checkout,checkout,checkout
3368,drinks,checkout,checkout,checkout,checkout
3404,checkout,checkout,checkout,checkout,drinks
3505,drinks,checkout,checkout,drinks,checkout
3511,checkout,checkout,drinks,checkout,checkout
3345,fruit,drinks,checkout,checkout,checkout
3368,drinks,checkout,checkout,checkout,checkout
3404,checkout,checkout,checkout,checkout,drinks
3371,spices,checkout,checkout,drinks,checkout
3411,checkout,checkout,drinks,checkout,checkout
3363,fruit,drinks,checkout,checkout,dairy
3372,drinks,checkout,checkout,dairy,fruit
3385,checkout,checkout,dairy,fruit,checkout
3349,spices,dairy,fruit,checkout,checkout
3356,dairy,fruit,checkout,checkout,spices
3361,fruit,checkout,checkout,spices,dairy
3413,checkout,checkout,spices,dairy,spices
3506,dairy,spices,dairy,spices,checkout
3512,spices,dairy,spices,checkout,checkout
3519,dairy,spices,checkout,checkout,dairy
3528,spices,checkout,checkout,dairy,fruit
3536,checkout,checkout,dairy,fruit,checkout
3349,spices,dairy,fruit,checkout,checkout
3356,dairy,fruit,checkout,checkout,checkout
3361,fruit,checkout,checkout,checkout,checkout
3413,checkout,checkout,checkout,checkout,drinks
3379,fruit,checkout,checkout,drinks,fruit
3412,checkout,checkout,drinks,fruit,drinks
3364,fruit,drinks,fruit,drinks,fruit
3390,drinks,fruit,drinks,fruit,checkout
3399,fruit,drinks,fruit,checkout,checkout
3403,drinks,fruit,checkout,checkout,drinks
3414,fruit,checkout,checkout,drinks,fruit
3433,checkout,checkout,drinks,fruit,checkout
3350,dairy,drinks,fruit,checkout,checkout
3357,drinks,fruit,checkout,checkout,dairy
3372,fruit,checkout,checkout,dairy,drinks
3394,checkout,checkout,dairy,drinks,checkout
3507,drinks,dairy,drinks,checkout,checkout
3513,dairy,drinks,checkout,checkout,drinks
3520,drinks,checkout,checkout,drinks,fruit
3537,checkout,checkout,drinks,fruit,checkout
3350,dairy,drinks,fruit,checkout,checkout
3357,drinks,fruit,checkout,checkout,checkout
3372,fruit,checkout,checkout,checkout,checkout
3394,checkout,checkout,checkout,checkout,checkout
3380,dairy,checkout,checkout,checkout,checkout
3419,checkout,checkout,checkout,checkout,drinks
3365,dairy,checkout,checkout,drinks,checkout
3373,checkout,checkout,drinks,checkout,checkout
3351,spices,drinks,checkout,checkout,dairy
3358,drinks,checkout,checkout,dairy,fruit
3369,checkout,checkout,dairy,fruit,spices
3508,fruit,dairy,fruit,spices,drinks
3529,dairy,fruit,spices,drinks,checkout
3584,fruit,spices,drinks,checkout,checkout
3622,spices,drinks,checkout,checkout,drinks
3629,drinks,checkout,checkout,drinks,checkout
3662,checkout,checkout,drinks,checkout,checkout
3351,spices,drinks,checkout,checkout,checkout
3358,drinks,checkout,checkout,checkout,checkout
3369,checkout,checkout,checkout,checkout,drinks
3381,dairy,checkout,checkout,drinks,spices
3393,checkout,checkout,drinks,spices,checkout
3366,dairy,drinks,spices,checkout,checkout
3378,drinks,spices,checkout,checkout,drinks
3388,spices,checkout,checkout,drinks,checkout
3391,checkout,checkout,drinks,checkout,checkout
3365,dairy,drinks,checkout,checkout,dairy
3395,drinks,checkout,checkout,dairy,spices
3419,checkout,checkout,dairy,spices,checkout
3514,spices,dairy,spices,checkout,checkout
3538,dairy,spices,checkout,checkout,drinks
3546,spices,checkout,checkout,drinks,checkout
3562,checkout,checkout,drinks,checkout,checkout
3365,dairy,drinks,checkout,checkout,spices
3395,drinks,checkout,checkout,spices,fruit
3419,checkout,checkout,spices,fruit,checkout
3388,dairy,spices,fruit,checkout,checkout
3400,spices,fruit,checkout,checkout,checkout
3413,fruit,checkout,checkout,checkout,checkout
3420,checkout,checkout,checkout,checkout,checkout
3374,fruit,checkout,checkout,checkout,checkout
3379,checkout,checkout,checkout,checkout,drinks
3366,fruit,checkout,checkout,drinks,checkout
3370,checkout,checkout,drinks,checkout,checkout
3515,dairy,drinks,checkout,checkout,checkout
3530,drinks,checkout,checkout,checkout,checkout
